rank,course_name,location,edition,source_url
25,Peachtree,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
26,Whistling Straits – Straits,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
27,Shadow Creek,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
28,Southern Hills,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
29,Pinehurst – No 2,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
30,Pikewood National,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
31,The Honors,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
32,Wade Hampton,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
33,San Francisco GC,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
34,Ohoopee Match Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
35,The Olympic Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
36,Ballyneal,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
37,Gozzer Ranch,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
38,The Alotian,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
39,Bethpage Black,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
40,Bandon Dunes,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
41,TPC Sawgrass – Stadium,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
42,Congaree,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
43,Sebonack,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
44,The Golf Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
45,Baltusrol – Lower,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
46,Castle Pines,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
47,The Camargo Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
48,Erin Hills,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
49,Nanea,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
50,Myopia Hunt Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
51,Whispering Pines,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
52,Maidstone,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
53,Victoria National,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
54,Old Town Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
55,Shoreacres,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
56,Rock Creek Cattle Co,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
57,Somerset Hills,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
58,Inverness,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
59,Sleepy Hollow,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
60,Scioto,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
61,Winged Foot – East,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
62,Monterey Peninsula CC – Shore,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
63,Old Sandwich,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
64,Garden City,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
65,Bandon Trails,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
66,Oak Tree National,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
67,Spyglass Hill,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
68,Cherry Hills,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
69,Calusa Pines,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
70,The Estancia Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
71,The California Golf Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
72,Old Macdonald,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
73,Congressional – Blue,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
74,Kinloch – USA,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
75,Butler National,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
76,The Valley Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
77,Diamond Creek,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
78,Essex County Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
79,Monterey Peninsula CC – Dunes,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
80,Baltusrol – Upper,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
81,Quaker Ridge,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
82,Plainfield,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
83,Dallas National,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
84,Interlachen,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
85,Canyata Golf Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
86,Milwaukee CC,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
87,Valhalla,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
88,Hudson National,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
89,Kittansett Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
90,Boston GC,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
91,Quarry at La Quinta,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
92,Arcadia Bluffs,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
93,Medinah – No 3,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
94,Pete Dye GC,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
95,Aronimink,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
96,Pasatiempo,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
97,Piping Rock,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
98,Shooting Star,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
99,Olympia Fields – North,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
100,Spring Hill Golf Club,,2023-24,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2023
